text:hello how are you today?	labels:i'm great thanks! how are you doing?
text:differential ages for marriage? why?	labels:the 9 people you should ask these questions to1  elderly woman2  elderly man3  married woman4  married man5  adolescent unmarried girl  12 to 16 years6  adolescent unmarried boy  12 to 16 years7  child  girl  6 to 8 years old8  child  boy  6 to 8 years old9  someone in uniform  postman  policeman  policewoman  bus conductor  bus driver  firebrigade  ambulance driverinterview of someone in uniform will be interesting visually and also because people in uniformsort of denote the  system   for each interviewer you should have at least 5 b rolls thatestablishes their work profession  please make a sequencethe editors will cut footage from several ccs into one  vox pop  video  this video will be veryuseful in kick starting discussion around patriarchykhel badal  dismantle patriarchy       18    www  videovolunteers  orgvideo story idea   9widow and widowerhere are some questions for all of us to pondera woman whose husband is dead is called a widow  what do we call a man whose wife	episode_done:True
text:program ?	labels:asha and sunil are both in their late forties and live in the same village  asha s husbandsuccumbed to tb two years ago while sunil s wife died in a road mishap a year agosince her husband s death asha s life has turned upside down  she struggles to eke out aliving and raise her children  she is restricted to her house  she stares at a bleak future  societydoes not give her a chance to overcome her grief and start over in life  it s highly unlikely thatasha will get the share of her husband s property so she is compelled to continue living withher husband s parents and brothers  marrying again is not even an option for asha   what will	episode_done:True
text:loneliness   why wouldn t society give me a chance to find companionship again?  she asks	labels:with a palpable rage in her voicesunil s mother has struggled to take care of his children since his wife passed away  his familymembers have advised him to marry again and he will be married this yearfilming tips   like in other cases  it is extremely important to get informed consentfrom your central characters and spend at least a day with them before shooting andget to know them well  give them  particularly asha  the option of concealing theiridentities  capture asha s life visually by filming all the activities she does  cookingcleaning  readying her kids  reading a newspaper etc  your conversation with her is not about	episode_done:True
text:how her husband died and the details around it  but about how she is coping in day to day life?	labels:what her wishes and hopes for the future are  more importantly  your attempt should be to letthe audience know what asha feels about being a widow  whether women should be able to	episode_done:True
text:remarry or not  why widowed men can remarry and not women  why does she think the society?	labels:is so scared of widows remarrying  etcif your main character is sunil  it is extremely important to spend time with him and get as manyb rolls as possible of him doing what he does  remember to shoot full sequences and not justkhel badal  dismantle patriarchy       19    www  videovolunteers  org	episode_done:True
text:one shot of each activity  ask him similar questions  why is he thinking of remarriage  the?	labels:importance of a mother in a child s life  importance of a father in a child s life  if a father is	episode_done:True
text:the society have different rules for men and women? should the rules be different?	labels:khel badal  dismantle patriarchy       20    www  videovolunteers  orgfilming category   4patriarchy taught in schoolvideo story idea   10patriarchy taught in schoolit is not  unfortunately  difficult to see patriarchy and discrimination reinforced in our educationsystems and schools  one simple video you can make is on the  educational charts  that are onthe walls of most schools  typically you will see a chart that explains various occupations andprofessions  a chart that has pictures of various artisans  a health chart that lays out goodhygiene practices etc  you will see that most of these charts are sexist  the occupation chartswill invariably have men as driver  doctor  engineer  carpenter etc while the nurse and teacherwill be women  you will also see that most of the images are malefilming tips   if you come across a chart like this  you should take visuals of thischart from various angles and in various shot sizes  take close ups of details of thechart  take the poster down and use it as a discussion tool with a small group of	episode_done:True
text:images  is there any profession that a woman cannot do? explore what these kids want to be	labels:when they grown up  see if you get stereotypical answers to this  girls saying they want tobecome teachers and nurses and doctors  and the boys articulating more options   explore	episode_done:True
text:this video could give us a chilling account of how we have internalized these sexist and?	labels:discriminatory images and normalized itvideo story idea   11	episode_done:True
text:who s behind girls dropping out of school?	labels:it is quite common in our villages to see girls dropping out of school more than boys  thisphenomenon is aggravated when the village does not have a high school and students arerequired to travel longer distances to another town or village to attend school  parentspressured by society or simply because they are afraid for their girls  safety  take their girls outkhel badal  dismantle patriarchy       21    www  videovolunteers  orgof school  sometimes girls like mary have to drop out of school so that they can take care oftheir younger sibling or support their parent s incomemary is 12 years old and is the second of her four siblings  her older brother victor  14  goes toschool  while she has dropped out of school to take care of her younger siblings  mary sparents are both daily wage earners and have to leave for work early  mary cooks for all hersiblings  feeds the younger ones and looks after them all day  victor goes to school on hisbicycle	episode_done:True
text:common in your village? you can make a video to find out what the reasons behind	labels:dropping out are  mary had to drop out to take care of her siblings  but there can beseveral other reasons  like   lack of toilets at school  parents fear for girls safetysocietal pressure on parents to keep  young woman at home  etc	episode_done:True
text:in a story like this it s important to capture two things  1  how mary  the girl s  life is  she is?	labels:forced to play a grown up s role and is being trained for being a mother  in the process oftaking care of her siblings  this is what is expected by our traditional society  2  victor is notaffected by this and is not expected to take care of his siblings and he is being trained for histraditional role of  bread earner	episode_done:True
text:riding it to school  ask mary if she ever rides it around? if she does  film her riding it  if she	labels:doesn t ask her if she would like to learn  and ask victor if he would teach her  these kind ofset ups will help you explore their relationship and also help you get into the issue of mobilityand what young children think of it	episode_done:True
text:you may also want to interview the parents to understand their mindset and how they chose?	labels:their son s education and career over their daughter skhel badal  dismantle patriarchy       22    www  videovolunteers  orgfilming category   5patriarchy sanctioned by cultureit s our culture    yeh to parampara haiwhile religions may teach equality between people  in practice women usually have asubordinate role and may be excluded altogether from the religious hierarchy and certainreligious rituals  religion nevertheless holds out the promise of equality and justice  and this is	episode_done:True
text:and priests? different cultural practices  social customs  traditions and rituals too restrict	labels:control and exclude women in more ways than one  there are many culturally sanctionedpractices   such as genital mutilation  lack of education for girls  preferential feeding of boysearly marriage of girl child  untouchability during menstruation   which damage women and	episode_done:True
text:make their lives more difficult and painful  culture  however  like religion  can also be the?	labels:source of cohesion and solidarity amongst women  and amongst women and menvideo story idea   12child marriagegirl child perceived as an economic burdenlata and shekhar have 4 children   3 girls and the youngest  is a boy  13 year old sheena is the	episode_done:True
text:eldest of the four children  she is ambitious and wants to study further  however  the couple?	labels:cannot support her education and don t see the point in educating her  unable to bear thefinancial costs of raising four children  the couple has decided to marry off sheenafilming tips1  while making such a video you should interview both the parents as well as thegirl  in your interview with the parents ask them what prompted the decision of	episode_done:True
text:the dangers of marrying her off at time when she might not be ready for it?	labels:2  child marriage is often also connected with dowry   in some cultures the dowryprice increases with the age of the bride  you should ask them whether theyhave paid dowry and whether dowry increasing with age is the reason they aregetting their daughter marriedkhel badal  dismantle patriarchy       23    www  videovolunteers  org3  male ccs should explore these things about child marriage with a male guardianfather brother uncle etc	episode_done:True
text:prohibiting child marriage?	labels:5  the girl might not speak openly  engage her in a conversation and don t pushher to speak  it is okay if she doesn t speak up  her inability to answer or answerby studied confused silence is important for the filmvideo story idea   13shame  stigma   silence around menstruation	episode_done:True
text:women rarely talk about menstruation in front of male members of the family or society? why	labels:does a chemist wrap a packet of sanitary napkins in a black polythene bag or a newspaper  as	episode_done:True
text:have you ever stopped to think why we are so ashamed of a natural bodily process? why is	labels:menstruation   a matter of women s health   shrouded in silence   stigma  which in turn	episode_done:True
text:propagate misconceptions and spread of misinformation around it?	labels:aditi gupta was 11 years old when the sight of her bloodstained underwear sent her into a tizzyof confusion  shock and panic  after she was offered a quick solution   a cloth   as womenacross generations in her family had been using  an awkward celebration of her  womanhood	episode_done:True
text:followed   but what did it really mean?  wondered aditi	labels:through her early teens  every time she menstruated  it made her  impure   she could not visitthe temple  play or even speak of it  even if she did talk to someone   definitely not a man   ithad to be in hushed tonesat 15  aditi was introduced to sanitary napkins  every time an advertisement of the productplayed on television  whoever held the remote  instinctively switched the channel  when sheasked a chemist for them  he hurriedly wrapped them in a newspaper or in black polythenebag  as if it were contraband  even when she used a cloth  there was a designated spot  awayfrom male gaze  selected by the women of the house to dry their menstrual clothskhel badal  dismantle patriarchy       24    www  videovolunteers  org	episode_done:True
text:aditi began to understand why most women in her family used cloth instead of sanitary napkins?	labels:it was simply embarrassing to ask for itfilming tips   most women will be able to identify with aditi s experience  some ofyou may have experienced being asked not to enter the kitchen or temples whilemenstruating  if you haven t experienced this yourself  we re sure you knowsomebody who has  you can interview both men and women for this film  you canalso interview one of the twoif you are a female cc  this is a film where you can also be a character  in this case you mightneed to train a family member or a friend to film youif you have found a character for your film  it might be difficult to get your interviewee talkingsince menstruation is shrouded in shame and silence  you must spend time getting to knowthe character in your video  have a conversation with the interviewee and not a rapid fire ofquestion and answers  points to cover in your conversation and in camera interview areif your interviewee is a woman you can ask the following questions	episode_done:True
text:i  were you aware of what was happening to your body?were you informed	labels:about it by family members friends teacher anganwadi worker what were you	episode_done:True
text:iii  was the conversation symbolic or codified? what were you told? upon	labels:reaching puberty  it is common that girls are told things like   tu ab toh	episode_done:True
text:badi sayaani ho gayi hai?  we d like to know about the language used to	labels:convey the message  it will be interesting to understand if the message wassymbolic codified	episode_done:True
text:reason?	labels:vii  there is a possibility that your interviewee has faced restrictions in the past butdoesn t anymore  if this is the case  then this becomes a story of transition  in	episode_done:True
text:viii  do you talk about menstruation to male members in the family?	labels:it will also be interesting to interview men  you can ask them	episode_done:True
text:you? what did they say?	labels:khel badal  dismantle patriarchy       25    www  videovolunteers  org	episode_done:True
text:why?	labels:video story idea   14symbols of marriagesushma bhadu of dhani miyan khan village wore a ghunghat for 32 years and lived the life of atypical haryanvi bahu satisfying the needs of her husband and her three children  sheperformed all her duties well at home as well as went out for work sushma dropped out ofschool in the 7th    grade but was always interested in improving the welfare of the communityshe lived inone day sushma informed her husband bhagwan das that the ghunghat was hindering herwork and in the presence of women panchayat members  girl students and anganwadi workersshe discarded the veil  she said  it no longer works for me  holds me back and stops me fromfully participating in my family  or things that concern our village  but most importantly  it robsme of my identity as a person  many of the women followed suit and set aside their veils toodas is very proud of what his wife does as she is the sarpanch of the village and is involved in	episode_done:True
text:many sanitation and other projects to better the surroundings  however  the men from the?	labels:neighbouring villages mock the women of dhani miyan khan saying   ab to tumhe chhoot milgay ihai   kuchh bhi kar sakti hoif ghunghat or purdah system prevails in your community  are you likely to see a	episode_done:True
text:scenario such as this? how many women who are uneducated or school dropouts like	labels:bhadu have the guts to stand up to their husbands and family to say and act upon	episode_done:True
text:and help them create their own identity?	labels:filming tips   while ghunghat is a symbol of marriage in the hindu community  hijab burqadon t necessarily symbolise marriage  if your story focuses on ghunghat or purdah spend timewith the character and get b rolls of her performing different tasks with her ghunghat purdahin the interview you can ask her	episode_done:True
text:do you think it is necessary for women to follow it? why why not?	labels:khel badal  dismantle patriarchy       26    www  videovolunteers  orgif you are interested in exploring symbols of marriage  you can get several b rolls of symbols ofmarriage	episode_done:True
text:b rolls of the actual wedding  this  however  is not a must?	labels:b rolls of the bride and groom a few weeks after the weddingwhile getting the above b rolls you need to remember that symbols of marriage arevisible on every part of the body from head to toe   sindoor  maathe ka sindoor  nathniface tattoos  mangal sutra   bangles of specific colour material  waist bands or kamar	episode_done:True
text:men and women  can one tell a man is married visually?	labels:you can interview the bride and ask her	episode_done:True
text:whose name will your children bear? if she says her husband s ask her how she feels	labels:about that	episode_done:True
text:have to do that?	labels:you can also do an interview with men on similar linesvideo story idea   15women are witches  men are witch doctorsaurat dayan aur mard ojhawitch hunting is a cultural practice perpetrated against women  the common labelss used forwomen who are labelsed as a witch s are dayan  bhootani  victims are also referred to asharamjaadi  baapchodi  behaya  besharam  randi  kulachhini  kutiya  beta khauki  son eateretc the reasons for calling a witch range from an immediate triggering event like bad crop  asnake drinking milk  a missing object from a ritual site or actual or alleged illnesses  rangingfrom stomach aches  fever  paralysis  mental problems including hysteria  skin eruptions  jointpains etc    inability to conceive a child  deaths due to illness or even murders  committed bysomeone else  and suicidekhel badal  dismantle patriarchy       27    www  videovolunteers  orgsingle women  which includes widows with productive resources  economic resources orproperty  women who transgress social authority and mores  women with exceptional physicalattributes  etc have largely been seen as branded as witch and at the receiving end of violencethat this practice perpetuates  although it draws upon superstition witch hunting is driven bymaterial conflicts which get camouflaged by the superstitionwitch doctors  men   are called upon to undo the evil influences applied to a man or woman bya witch  womanthree states jharkhand  bihar and chhattisgarh have specific laws against witchhunts chhattisgarh s tonahi pratadna nivaran act of 2005  bihar s prevention of witch	episode_done:True
text:dayan  practices act  1999  and in jharkhand  the witchcraft prevention act  2001  however?	labels:cases of witch hunting are reported from 9 other states    haryana  orissa  west bengalmadhya pradesh  rajasthan  andhra pradesh  gujarat  maharashtra and assam	episode_done:True
text:filming tips   have you seen or heard of such instances in your village? in this story	labels:you need to chronicle the reasons behind this practice and belief	episode_done:True
text:1   if your character is a woman branded as a witch  explore real reason why she?	labels:was is branded as a witch  don t focus on the incident itself it is okay to alsointerview son daughter or somebody associated with her2  if she was killed it is crucial to interview the surviving members of her family andask them what they thought were the real reasons behind the ostracisation	episode_done:True
text:thinks a woman turns into a witch? are some women born that way? how should	labels:witches be dealt with  to find this character in your village  you need to ask	episode_done:True
text:who in the village declares a woman as a witch? typically could be	labels:spiritual religious leader	episode_done:True
text:witch? does she start flying? in this interview just let the character talk  it will be	labels:interesting to hear what he has to sayvideo story idea   16	episode_done:True
text:why are religious leaders mostly men? why not women	labels:priests   padris   mullahs	episode_done:True
text:become priests? he replied   how can a woman who has menstrual cycles every month be	labels:khel badal  dismantle patriarchy       28    www  videovolunteers  org	episode_done:True
text:considered pure to conduct holy rituals?  neeta  who had never seen a woman pujari before	labels:could not figure what was so impure and unholy about her body and the fact that shemenstruated every month  she decided to write to a school she had heard about that trainedwomen to conduct rituals  prayers for initiation  engagement  marriage  conversionhousewarming  ancestor worship and last rites  today neeta is training to be a pujari and willsoon join the existing group of 1600 women priests in indiawomen priests are usually sidelined even today  nobody gives them importance   but despiteopposition  ridicule and social boycott from some male priests  women should continue tofollow their pathsome male clergy  who are performing rituals in the traditional ways  worry about their sourceof income as this is their bread and butter some others say   you face many complex questionsas a hindu priest  which women often can t answer because they only get superficial trainingand i think people are being fooled when so called women priests shorten religious rituals  it smore like entertainment  it gives priesthood a bad namefilming tips1  planning a video around this would be very interesting  such a video can alsofocus on female padris or mullahs  do you know a woman in your village who is	episode_done:True
text:are the perceptions of the community members on this issue?	labels:2  you can also interview a male priest  you can ask him whether he thinks women	episode_done:True
text:what fate awaits humankind if the women become religious?	labels:3  get lots of b rolls of the religious space  as well as sequences of that characterkhel badal  dismantle patriarchy       29    www  videovolunteers  orgfilming category  6women and political participation	episode_done:True
text:many women representatives are part of this? merely 8 which is about 10   this is as of july	labels:2016	episode_done:True
text:did you know that 50  seats in all panchayati raj institutions are reserved for women?	labels:sadly  despite the numerical strength the role of women has been underplayed and thedevelopmental efforts by the government have only ensured their further marginalization  infact  tribal women notwithstanding the constitutional and legal safeguards are still struggling forequality of status and equality of participation in the development processvideo story idea   17being a woman sarpanch in indiakamla is a tribal woman who had been educated by her family  she was always the woman tospeak up for other women in the village and hence was elected as the president of the villagesome of the upper caste villagers did not cooperate and recognize her as head of the villagebecause of her caste and also because of her gender  female   a woman was elected as thevillage head for the first time in the history of the village where usually people belonging to theupper caste were elected as village heads in the gram panchayat electionskamla improved her speaking skills and awareness by visiting government offices and wassuccessful in getting funds for village development  she interacted with the villagers andpersonally visited the houses of opposition party leaders and upper caste people to seek theirguidance  cooperation and suggestions to get more funds for village development  she alsodeveloped a good rapport with all the villagers including the dalit communityfilming tips	episode_done:True
text:1  document kamla s work as a sarpanch  remember that showing her work?	labels:brolls  are as important as her interview2  if kamla also has to do household work  make sure you have complete brolls ofthat too  remember to film sequences3  kamla s interactions with other panchayat members is important to capturekhel badal  dismantle patriarchy       30    www  videovolunteers  org4  during interviewing her  it is important to know her journey of being a womansarpanch  but we also want to know her opinion and experience on questionslike	episode_done:True
text:b  why are husbands  family members and the community hesitant in?	labels:seeing women as leaders	episode_done:True
text:c  what are the qualities of a good leader or a good sarpanch?	labels:d  what message do you want give to other women sarpanch and wardmembers who are not active and let their male members carry out their	episode_done:True
text:work?	labels:5  you can also make a video on a woman who has become sarpanch or wardmember through the reserved category   but remains a proxy for her husband  ifthe husband is doing all the work then film him doing the work  film her doinghousehold work or farm work or whatever else she does  during the	episode_done:True
text:member and why she decided to stand for election etc  if the husband does all?	labels:the talking  don t stop him  you film him talking and film her quietly listening  askthe woman   when do you think you will be able to handle things on your own	episode_done:True
text:panchayat related work?	labels:6  you can also make a video on a woman panchayat ward member who worksindependently without any interference from her husbandkhel badal  dismantle patriarchy       31    www  videovolunteers  orgfilming category   7construction of beautythe oppression of  gori chitti   lambe baal  bahut moti ya naati nahi  pati	episode_done:True
text:se lambi patni?  kabhi nahi	labels:video story idea   18the construction of beauty is subjectively defined from one culture to another  itmanifests itself in popular culture as well as day to day life  creating body images andan aspiration to fit into broader definitions of beauty  these definitions in themainstream discourse are more often than not a point of view of upper caste class mentake for example the definition of an ideal bride  across matrimonial ads or even in day to day	episode_done:True
text:discourse  you probably have heard how an ideal bride is one who is  fair  has long hair  plump?	labels:is okay   fat isn t  not too short  definitely not taller than her male companion  while severalbrands selling fairness products capitalize on the popular construct of beauty commonly	episode_done:True
text:created   an aspiration to be fair  the fact that these sell in huge numbers shows that there is a?	labels:demand for these products  consumers are trapped in and feel pressurized to fit into theconventional definitions of beautyfilming tips	episode_done:True
text:1  to capture how beauty is constructed in our minds you can interview different people?	labels:a  7 year old girl and boyb  14   19 year old girl and boyc  20   25 year old girl and boyd  26 40 year oldse  40 years old and above2  you can ask them the following questionsa  describe a  beautiful  womanb   handsome  man	episode_done:True
text:c  can the bride be taller than the groom?	labels:d  qualities of ideal mane  ideal woman3  get b rolls of fairness cream other beauty product billboards or ads in publicplaces newspaper  behind auto rickshaw trucks  look for quotes pictures posters inpublic spaces that comment on beauty  reinforce or break stereotypes of beautykhel badal  dismantle patriarchy       32    www  videovolunteers  orgfilming category   8women   public spacesvideo story idea   19women and public spaceswhile we talk about equal wage inheritance  property rights for women  we rarely questionrestrictions on mobility of women across public spaces  women are not seen in and are oftenapprehensive of embracing public spaces  especially after dark due restrictions imposed byfamilies  by hostels and a patriarchal which infers that a woman who is out on her own afterdark is  loose    available  or a  slut   and  if a woman  must go out on her own after dark  shemust be accompanied by a manhave you as men and women ever wondered  what s wrong with women hanging out dhabas	episode_done:True
text:play  gilli danda on the streets?	labels:parents worry their daughters will be labelsed by society  hostels say safety of women is theirconcern and oh  then there is the moral police who say    yeh humaare sanskriti mein nahi hai	episode_done:True
text:we must ask here   kya hai jo humaare sanskriti mein nahi hai aur kyun?	labels:citing  safety of women  as the main reason for restrictions placed on women s mobilityindirectly puts the onus of being safe on women  which means  a woman who has faced anyform of sexual violence  is likely to be blamed for it  women are told to be safe and men toprotect them  women are often treated as assets that need to be fiercely protectedin a lot of households  wanting a woman back home before 7pm is also linked to theirhousehold workfilming tips   this will be a visual film  so plenty of brolls  the idea is to build avisual montage of rural and semi urban public spaces to bring home the point thatmost public spaces are male dominated  for this you need to spend time filming atdifferent public spaces at different times of the day to make your video  examples ofwhere you can do the filming	episode_done:True
text:chowks?	labels:haat bazaarkhel badal  dismantle patriarchy       33    www  videovolunteers  orgbus standsdistrict collector officeblock officegovernment hospitalsfamous or busy temples in your areapicnic spots in your arearemember to shoot establishing shots  mahol shots  and close ups tooyou will see that places like collector office  block office etc will have less women and thehaat and temples have more women  capture this visuallyinterview men and women on questions arising out of your observations  like	episode_done:True
text:what needs to happen or change for women to feel fearless about moving around?	labels:khel badal  dismantle patriarchy       34    www  videovolunteers  orgfilming category   9sexuality    bodily integrityphrases like  ek aurat ke shareer pe uske pati ka adhikar are common parlance  this is amanifestation of patriarchy   it teaches men that women are their assets   assets need to becontrolled    tells men that they have a right to control women s bodies and sexuality  thereare cases where men coax their wives into sexual intercourse or a sexual act they might not	episode_done:True
text:like  in such cases men say  how can she refuse? uske shareer pe mera haq hai  this	labels:manifestation of patriarchy is also pervasive in the law in india which does not recognizemarital rape as an offence  further  in many cases women don t have a say in    whether tohave a child or not  whether to undergo an abortion or not  where they want to deliver   athome or at a hospital  choosing a method of family planning  men have the autonomy to	episode_done:True
text:choose their partners  however  if a woman does so  it is frowned upon?	labels:video story idea   20bodily integrityshalini had her first baby three years ago and did not want to have any more children  whenshe told her husband  kabir and in laws so  they were infuriated  despite repeated requestsher husband refused to use condoms  he hated them  shalini was pregnant once again within	episode_done:True
text:a year of her first pregnancy  she wanted to undergo an abortion  however her in laws did not?	labels:let her  after her second baby was born  shalini pleaded that her husband use condoms orundergo a vasectomy  instead  kabir forced shalini to undergo sterilization which eventuallyled to health complicationsfilming tips	episode_done:True
text:shalini   kabir can both be characters in your film  however  you needn t  feel?	labels:compelled to look for characters who share the exact dynamic or reproductive	episode_done:True
text:health history  you can interview any married couple to understand how?	labels:patriarchy has an impact on choice of contraception  women s reproductivehealth and decision making around it	episode_done:True
text:it is okay if you can get only one of them to talk on camera   however  having?	labels:both male and female perspectives in your film will make your story moreroundedif both have agreed to be interviewed  schedule interviews on different daysand  talk to them on a one on one basis  through your conversation you couldask the following questionskhel badal  dismantle patriarchy       35    www  videovolunteers  org	episode_done:True
text:choice? and  what went into making that choice?	labels:video story idea   21	episode_done:True
text:should marital rape be illegal?	labels:rape is a type of sexual assault usually involving sexual intercourse or any other form ofpenetration perpetrated against a person without the person s consentunder section 375 of the indian penal code   a      man is said to commit  rape  if he     apenetrates his penis  to any extent  into the vagina  mouth  urethra or anus of a woman ormakes her to do so with him or any other person  or  b  inserts  to any extent  any object or apart of the body  not being the penis  into the vagina  the urethra or anus of a woman or makesher to do so with him or any other person  or  c  manipulates any part of the body of a womanso as to cause penetration into the vagina  urethra  anus or any part of body of such woman ormakes her to do so with him or any other person  or  d  applies his mouth to the vagina  anusurethra of a woman or makes her to do so with him or any other person  under thecircumstances falling under any of the following seven descriptionsfirstly    against her willsecondly     without her consentthirdly     with her consent  when her consent has been obtained by putting her orany person in whom she is interested  in fear of death or of hurtfourthly     with her consent  when the man knows that he is not her husband and thather consent is given because she believes that he is another man to whom she is orbelieves herself to be lawfully marriedfifthly    with her consent when  at the time of giving such consent  by reason ofunsoundness of mind or intoxication or the administration by him personally or throughanother of any stupefying or unwholesome substance  she is unable to understand thenature and consequences of that to which she gives consentsixthly     with or without her consent  when she is under eighteen years of ageseventhly     when she is unable to communicate consentexplanation 1   for the purposes of this section   vagina  shall also include labia majorakhel badal  dismantle patriarchy       36    www  videovolunteers  orgexplanation 2   consent means an unequivocal voluntary agreement when the woman bywords  gestures or any form of verbal or non verbal communication  communicates willingnessto participate in the specific sexual actprovided that a woman who does not physically resist to the act of penetration shall  not  bythe reason of  only that fact  be regarded as consenting to the sexual activityexceptions1  a medical procedure or intervention shall not constitute rape2   sexual intercourse or sexual acts by a man with his own wife  the wife not being underfifteen years of age  is not rapethe second exception is important to understand  it means that if a husband rapes his wife it acrime only if the wife is under 15 years of age  but  if the wife is above 15 years of age rape byhusband is not a crimeeven though rape laws were amended in 2013 after the nirbhaya rape case in delhi  thelawmakers did not find it important to make marital rape a crime	episode_done:True
text:how do you feel about it? why do you think this particular exception continues to exist?	labels:make a video on this by gathering people s opinion about thisfilming tips   interview 10 married men and 10 married women and ask them thefollowing questions  film this in the vox pop style by framing a mid shot of eachcharacter	episode_done:True
text:question 1   is it a crime for a husband to rape his wife?	labels:if the answer you get is  yes  or  i don t know   go to question 2 andthen 4if the answer you get is  no   go to question 3 and then 4	episode_done:True
text:question 4   should marital rape be made a crime?	labels:after each person s interview remember to ask their names and village namesyou can do all interviews in the same village but don t interview all 10 women or all 10 menfrom the same location  make sure you are interviewing a variety of men and women  so  go todifferent hamlets or communities in the villagekhel badal  dismantle patriarchy       37    www  videovolunteers  org	episode_done:True
text:brolls   since this is a vox pop style filming brolls for each character is not needed  however?	labels:do take general brolls of the village  establish the village with nice and steady shotsremember to give film at least 10 different things that will establish the village  also rememberthat close ups and mid shots are important too  so  please don t film everything in long shotor establishing shotnote  if you come across a case of marital rape  refer to the section on marital rape in part iiof this guidekhel badal  dismantle patriarchy       38    www  videovolunteers  orgfilming category   10breaking stereotypesvideo story idea   22dhanlaxmi the taxi drivertaxiwali dhanlaxmisometimes we come across women who have taken up a profession that is traditionallydominated by men  such women can be great characters for a video  like for exampledhanlaxmi in mumbaimen are shocked when they see me behind a steering wheel ferrying passengers  most ofthem think women are meant to cook and do household work   says dhanlaxmi devendra  oneof mumbai s few female taxi drivers  despite the snarky remarks that she often gets  dhanlaxmisays she loves her job because it gives her the autonomy to make decisions about her life	episode_done:True
text:however until four years ago  this wasn t the case?	labels:dhanlaxmi s son was two months old  when she decided to walk out of an abusive marriageshe went back to living with her parents and started looking for work to be able to supportherself and her son  she had never been employed before and was extremely proactive in	episode_done:True
text:looking for work  that is how she came across priyadarshini  an all women taxi service?	labels:company which trained its employees through driving lessons  self defense techniques and amodule on dealing with  troublesome  passengers  she applied right away and was selectedthis marked a new beginning in dhanlaxmi s lifetoday she spends most of the day driving  both male and female passengers around mumbaishe wants to get her son a sound education and dreams of building a house in the city   i amdetermined to make it happen with this taxi job   she signs offfilming tips   it is very important that you first identify your main character and get toknow her really well and get her consent  she will only agree to be part of your film ifshe knows you well and trusts you and the purpose of your filming  you will have tospend at least two days of filming with her  get plenty of b rolls of her full day  fromhousehold chores  to getting ready for work  receiving phone calls from clients  driving her carshots from inside and outside   you can interview her inside her car while she is waiting for a	episode_done:True
text:taxi driver different than a woman s? explore how  male  she had to be to get this  did she	labels:khel badal  dismantle patriarchy       39    www  videovolunteers  org	episode_done:True
text:have to cut her hair  wear pants or in any way  look like a man ? ask her what it it will take to	labels:see women taxi drivers in smaller cities like solapur or rajkot or shimla or srinagar  ask herwhat are the other professions that men currently dominate but can also be pursued by	episode_done:True
text:women?	labels:video story idea   23breaking stereotypesbedbhav pe praharkailash chandra is a farmer and has three daughters  typically  what we see is that parentswith one or more daughters will keep trying till they have a son  maybe they think that the sonwill bring back in dowry whatever was spent on the wedding of the two or three  foursometimes even five  daughters that came beforebut kailash thinks differently  he says his eldest daughter savita is extremely intelligent  shehas just finished school and he has admitted her into a year long coaching programme toprepare her for engineering and medical entrance exams  this year long programme isexpensive but kailash believes that  it will be better to spend this money now and let her standon her own two feet than spend it later on dowry  probably over a foolish boy who has no skillsand is dependent on his parentsfilming tips   the above case study reflects a progressive attitude that is not socommon  if you know of such cases  you should surely plan a video because theseare the real  heroes  we must acknowledge  getting consent from someone likekailash and his family will not be difficult because they will only be proud to tell theirstory  again  it s very important to capture the moments between the father and daughter andbetween the mother and daughter  also important is to capture the general conversation	episode_done:True
text:against a daughter? why can a daughter not carry out the rituals carried out by a son?	labels:remember your main character kailash is a farmer so it s important that you have visuals of himin the farm  sequences  not just single shots  visuals of savita reading and preparing for hertests are important  b rolls of savita going to classes on a bicycle are very crucial  these visuals	episode_done:True
text:show her as independent and confident  ask her what a girl can and cannot do? what does	labels:she have to say to those who believe that a woman should be in the house and only take care	episode_done:True
